iter	Passed	Remaining
0	1	106
1	2	130
2	3	112
3	4	102
4	5	103
5	6	100
6	7	99
7	8	98
8	9	96
9	10	96
10	11	93
11	13	97
12	14	98
13	15	97
14	16	95
15	18	94
16	19	96
17	20	94
18	22	96
19	23	95
20	26	99
21	28	102
22	30	100
23	31	100
24	33	99
25	36	103
26	39	107
27	40	105
28	42	103
29	43	101
30	44	99
31	47	100
32	49	101
33	51	100
34	53	98
35	54	97
36	56	97
37	60	98
38	61	96
39	62	94
40	64	92
41	65	90
42	69	92
43	71	90
44	72	88
45	73	86
46	74	83
47	76	83
48	78	81
49	79	79
50	81	78
51	82	76
52	83	73
53	84	71
54	85	69
55	87	68
56	88	66
57	89	64
58	90	63
59	91	61
60	92	59
61	93	57
62	94	55
63	95	53
64	96	52
65	98	50
66	99	48
67	100	47
68	100	45
69	101	43
70	102	41
71	103	40
72	104	38
73	105	36
74	105	35
75	107	33
76	107	32
77	108	30
78	109	29
79	109	27
80	110	25
81	111	24
82	112	22
83	112	21
84	113	20
85	114	18
86	115	17
87	116	15
88	116	14
89	117	13
90	118	11
91	118	10
92	119	9
93	120	7
94	121	6
95	121	5
96	122	3
97	123	2
98	124	1
99	124	0
