iter	Passed	Remaining
0	167	167767
1	171	85777
2	176	58538
3	180	44983
4	185	36889
5	190	31485
6	195	27682
7	199	24697
8	203	22422
9	207	20501
10	210	18939
11	215	17709
12	218	16576
13	222	15642
14	226	14849
15	229	14110
16	233	13488
17	237	12973
18	241	12473
19	245	12020
20	248	11602
21	252	11240
22	257	10919
23	260	10580
24	264	10298
25	267	10012
26	271	9772
27	274	9537
28	278	9324
29	282	9133
30	288	9017
31	292	8841
32	295	8669
33	300	8539
34	304	8384
35	308	8248
36	314	8176
37	319	8078
38	322	7953
39	326	7846
40	333	7804
41	339	7745
42	346	7710
43	350	7621
44	355	7535
45	357	7407
46	359	7293
47	361	7171
48	363	7057
49	366	6967
50	369	6869
51	370	6758
52	374	6691
53	376	6598
54	379	6513
55	380	6419
56	382	6327
57	384	6239
58	385	6144
59	386	6050
60	387	5960
61	388	5873
62	389	5789
63	390	5712
64	391	5631
65	392	5550
66	392	5472
67	393	5397
68	394	5327
69	395	5257
70	396	5194
71	398	5133
72	399	5069
73	400	5007
74	401	4945
75	401	4886
76	403	4834
77	404	4779
78	405	4725
79	406	4670
80	406	4617
81	407	4565
82	408	4510
83	409	4463
84	410	4413
85	410	4364
86	411	4317
87	412	4270
88	412	4224
89	413	4180
90	414	4137
91	415	4096
92	415	4056
93	416	4015
94	417	3975
95	418	3936
96	418	3898
97	419	3862
98	420	3825
99	421	3792
100	422	3758
101	422	3723
102	423	3689
103	424	3654
104	424	3621
105	425	3589
106	426	3558
107	427	3528
108	428	3498
109	428	3468
110	429	3438
111	429	3408
112	430	3380
113	431	3354
114	432	3327
115	433	3301
116	447	3379
117	448	3353
118	449	3328
119	450	3303
120	451	3279
121	452	3254
122	453	3230
123	454	3209
124	455	3187
125	456	3163
126	456	3139
127	457	3118
128	458	3096
129	460	3080
130	461	3058
131	462	3038
132	462	3017
133	463	2996
134	464	2977
135	465	2957
136	466	2940
137	467	2921
138	468	2902
139	469	2883
140	470	2864
141	470	2844
142	471	2827
143	472	2810
144	474	2795
145	475	2778
146	475	2760
147	476	2742
148	477	2725
149	478	2710
150	478	2692
151	479	2675
152	480	2658
153	480	2641
154	481	2625
155	482	2608
156	482	2592
157	483	2577
158	484	2563
159	485	2548
160	485	2532
161	486	2516
162	487	2502
163	488	2487
164	488	2473
165	489	2458
166	490	2447
167	491	2434
168	492	2422
169	493	2410
170	494	2398
171	496	2388
172	497	2378
173	498	2366
174	499	2353
175	499	2340
176	500	2327
177	501	2314
178	501	2301
179	502	2289
180	503	2277
181	503	2265
182	504	2252
183	505	2240
184	505	2228
185	506	2216
186	507	2204
187	507	2193
188	508	2182
189	509	2171
190	509	2159
191	510	2148
192	511	2138
193	512	2128
194	513	2118
